tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Breaking Bad,2,3,Bit by a Dead Bee,"Mar 22, 2009",8.4,18605,Walt and Jesse try to come up with alibis for their disappearances.,tt0903747
Breaking Bad,2,4,Down,"Mar 29, 2009",8.3,18745,Skyler keeps mysteriously leaving without talking to Walt. Jesse's parents throw him out of his own house.,tt0903747
Breaking Bad,2,5,Breakage,"Apr 5, 2009",8.4,18228,"Walt and Jesse decide to start their own little empire with the help of Jesse's friends: Skinny Pete, Combo, and Badger. Meanwhile, Hank tries to pull himself together after his encounter with Tuco.",tt0903747
Breaking Bad,2,6,Peekaboo,"Apr 12, 2009",8.9,20029,"After Skinny Pete gets ripped off, Walt makes Jesse go get the money. Meanwhile, Walt's cover story on how Elliott and Gretchen are paying for his medical treatment is on the verge of collapsing.",tt0903747
Breaking Bad,2,7,Negro y Azul,"Apr 19, 2009",8.7,18255,"Rumor is spreading that Jesse killed the man that ripped Skinny Pete off. Walt uses this to his advantage on expanding their territory. Meanwhile, Hank has been promoted to the El Paso office. But it's not all he hoped it would be.",tt0903747
Breaking Bad,2,8,Better Call Saul,"Apr 26, 2009",9.2,21347,"Badger is caught by the DEA. Walt and Jesse hire the best criminal lawyer in town, Saul Goodman.",tt0903747
Breaking Bad,2,9,4 Days Out,"May 3, 2009",9.2,20684,Walt and Jesse become stranded out in the middle of the desert after cooking more crystal.,tt0903747
Breaking Bad,2,10,Over,"May 10, 2009",8.6,17902,Walt's cancer has greatly improved. Time to celebrate. Meanwhile Jesse tries to meet his new girlfriend's father.,tt0903747
Breaking Bad,2,11,Mandala,"May 17, 2009",8.9,18437,Walt and Jesse's little empire begins to crumble. Saul tries to set them up with a mysterious distributor.,tt0903747
Breaking Bad,2,12,Phoenix,"May 24, 2009",9.3,20676,"Walt and Skyler have a baby girl. Now that Jesse is hooked on heroin, Walt refuses to give him his money until he gets clean. Meanwhile, as an excuse for his money, Walt decides to donate the money to himself through his son's new website.",tt0903747
Breaking Bad,2,13,ABQ,"May 31, 2009",9.3,20586,"Walt's lies have pushed Skyler to her limit. She leaves with the kids. Meanwhile, Jesse blames himself for Jane's death and goes into rehab.",tt0903747
Breaking Bad,3,1,No Más,"Mar 21, 2010",8.6,17729,Skyler goes through with her plans to divorce Walt. Jesse finishes rehab.,tt0903747
Breaking Bad,3,2,Caballo sin Nombre,"Mar 28, 2010",8.7,17250,"Walter, Jr. is having a rough time accepting his parents' separation. Jesse buys his old house from his parents. Meanwhile, two mysterious men have come into town looking for Walt.",tt0903747
Breaking Bad,3,3,I.F.T.,"Apr 4, 2010",8.5,17230,"Walt has moved back into the house without Skyler's consent. Now she can't get him out. Meanwhile, Jesse continues to cope with Jane's death.",tt0903747
Breaking Bad,3,4,Green Light,"Apr 11, 2010",8.3,17456,"Walt's world crumbles even more after finding out that Skyler is cheating on him. Jesse tries to set up a meeting with Gus to try and sell his own version of the blue meth. Meanwhile, Hank is growing obsessed with finding Heisenberg.",tt0903747
Breaking Bad,3,5,Más,"Apr 18, 2010",8.7,16800,Gus tries to get Walt back in the business by offering him three million dollars and a brand new lab. Jesse is furious that Walt received half of the money for his blue meth. Hank tries to track down the RV meth lab.,tt0903747
Breaking Bad,3,6,Sunset,"Apr 25, 2010",9.3,19765,"Heisenberg's organized and practical assistant Gale greatly aids his work in Gus's lab. Hank finally tracks the RV back to Jesse, as a concerned Walt finds any way to erase the evidence.",tt0903747
Breaking Bad,3,7,One Minute,"May 2, 2010",9.6,24216,"Jesse ends up in the hospital after getting beaten up by Hank. Now he is threatening to press charges against the DEA. To stop him, Walt decides to bring Jesse on as his partner, once again.",tt0903747
Breaking Bad,3,8,I See You,"May 9, 2010",8.8,17313,Hank ends up in the hospital after being attacked by Tuco's cousins. Walt spends too much time by his family's side when he should be cooking meth.,tt0903747
Breaking Bad,3,9,Kafkaesque,"May 16, 2010",8.5,17128,"Skyler hatches a plan as Hank's hospital bills stack up. Meanwhile, Walt and Gus come to a better understanding as Jesse, looking for more independence, pursues a new opportunity.",tt0903747
Breaking Bad,3,10,Fly,"May 23, 2010",7.9,29660,There is a fly loose in the lab. Walt and Jesse must do whatever they can to kill it before it contaminates the meth.,tt0903747
Breaking Bad,3,11,Abiquiu,"May 30, 2010",8.5,17010,"Skyler gets more involved in Walt's business, much to his chagrin, as Hank struggles with his recovery. Meanwhile, Jesse takes an active role in his new enterprise, leading him to a startling discovery.",tt0903747
Breaking Bad,3,12,Half Measures,"Jun 6, 2010",9.5,23478,"Against Walt's advice, Jesse lashes out. Fearing for Jesse's safety, Walt takes drastic action to intervene. Meanwhile a tragic event leads to a shocking confrontation.",tt0903747
Breaking Bad,3,13,Full Measure,"Jun 13, 2010",9.7,26520,Jesse has disappeared and Walt is in big trouble with Gus. So Gus rehires Gale to learn from Walt's cooking so that they can dispose of Walt once and for all.,tt0903747
Breaking Bad,4,1,Box Cutter,"Jul 17, 2011",9.3,21140,"Walt and Jesse are held captive for Gus, after Gale's death. Meanwhile, Skyler tries to find out what happened to Walt.",tt0903747
Breaking Bad,4,2,Thirty-Eight Snub,"Jul 24, 2011",8.3,17657,"Walt attempts to form a new alliance as he plans his next move. Meanwhile Skyler pushes Walt towards a business opportunity, in hopes of protecting the family.",tt0903747
Breaking Bad,4,3,Open House,"Jul 31, 2011",8.1,17865,"While Walt worries about Gus's interference and Jesse's increasingly fragile state of mind, Skyler steps up the pressure to get what she wants.",tt0903747
Breaking Bad,4,4,Bullet Points,"Aug 7, 2011",8.7,16867,"As Skyler concocts an elaborate story to explain the Whites' finances, a worried Walt discovers that Hank has begun a new investigation.",tt0903747
Breaking Bad,4,5,Shotgun,"Aug 14, 2011",8.7,16904,"Jesse rides shotgun with Mike on a perilous run of pickups, prompting Walt to worry that his partner is about to be killed.",tt0903747
Breaking Bad,4,6,Cornered,"Aug 21, 2011",8.6,17128,"Skyler adopts an aloof approach when she suspects that Walt isn't telling her the truth. Meanwhile, Jesse proves his worth to Mike and Gus.",tt0903747
Breaking Bad,4,7,Problem Dog,"Aug 28, 2011",8.9,17694,"Skyler looks to continue her family's trend of appearing poverty-stricken by forcing Walt to return the car he bought. A concerned Walt chauffeurs Hank to Los Pollos Hermanos, and the articulate yet immobile DEA agent collects prints.",tt0903747
Breaking Bad,4,8,Hermanos,"Sep 4, 2011",9.3,19901,"When Hank produces evidence that Gus is Albuquerque's crystal meth kingpin, Walt worries that he and Jesse will be killed to protect their boss.",tt0903747
Breaking Bad,4,9,Bug,"Sep 11, 2011",8.9,17906,"While Walt tries to subvert Hank's probe into the Albuquerque meth scene, a deadly warning forces Gus to consider a deal with the cartel.",tt0903747
Breaking Bad,4,10,Salud,"Sep 18, 2011",9.6,24853,"Jesse, Gus, and Mike fly down to Mexico, and Jesse cooks the blue meth for the cartel. Walt misses his son's 16th birthday after his fight with Jesse.",tt0903747
Breaking Bad,4,11,Crawl Space,"Sep 25, 2011",9.7,28735,"Hank asks Walt to drive him to the laundry where the meth lab is hidden. Ted still won't pay the IRS so Skyler asks Saul for help, and Saul sends in his A-Team. Gus and Jesse return from Mexico, and Walt fears he is in trouble with Gus.",tt0903747
Breaking Bad,4,12,End Times,"Oct 2, 2011",9.5,22464,"The DEA is putting Hank and his family in protective custody; however, Walt refuses and awaits his fate in his house. Meanwhile, Brock has fallen terribly ill and Jesse suspects Walt may be behind it.",tt0903747
Breaking Bad,4,13,Face Off,"Oct 9, 2011",9.9,54938,"Jesse is brought to the FBI for questioning on his knowledge of ricin. In a last effort to kill Gus, Walt must ask for help from an old enemy.",tt0903747
Breaking Bad,5,1,Live Free or Die,"Jul 15, 2012",9.3,24382,"Now that Gus is dead, Walt, Jesse, and Mike work to cover their tracks. Skyler panics when Ted Beneke wakes up.",tt0903747
Breaking Bad,5,2,Madrigal,"Jul 22, 2012",8.9,20987,Walt and Jesse seek out an unlikely partner for a new business venture. The DEA follows up new leads in its investigation.,tt0903747
Breaking Bad,5,3,Hazard Pay,"Jul 29, 2012",8.9,20474,The guys put a business plan into action; Walt confesses to Marie.,tt0903747
Breaking Bad,5,4,Fifty-One,"Aug 5, 2012",8.9,20641,It's Walt's 51st birthday. His return to the drug business causes Skyler to go into depression.,tt0903747
Breaking Bad,5,5,Dead Freight,"Aug 12, 2012",9.7,29901,"Walter White's domestic life continues to deteriorate; at the same time, his growing business venture aims to steal a train car chock full of methylamine.",tt0903747
Breaking Bad,5,6,Buyout,"Aug 19, 2012",9.1,20991,"In the aftermath of the train heist, Jesse and Mike decide to quit the business, leaving Walt to handle things on his own. Mike is being followed by the DEA.",tt0903747
Breaking Bad,5,7,Say My Name,"Aug 26, 2012",9.6,26848,Mike and Jesse are out. Now Walt has to handle things on his own. Hank finally finds a rat in Mike's gang.,tt0903747
Breaking Bad,5,8,Gliding Over All,"Sep 2, 2012",9.6,27090,"Walt expands his business overseas, and the money is pouring in.",tt0903747
Breaking Bad,5,9,Blood Money,"Aug 11, 2013",9.5,26155,Walt is out of the meth business and trying to move on with his life. Jesse tries to get rid of his money. Hank now knows that Walt is the famous Heisenberg.,tt0903747
Breaking Bad,5,10,Buried,"Aug 18, 2013",9.2,23119,"Hank is determined to bring down Walt. Walt scrambles to hide evidence before Hank gets to it, and Skyler tries to stop Hank and Marie from taking away the kids.",tt0903747
Breaking Bad,5,11,Confessions,"Aug 25, 2013",9.6,27953,"Walt makes his next move against Hank, putting Hank in a tough position. Hank confronts Jesse and attempts to turn him against Walt, and Jesse decides it's time to move on. Meanwhile, Todd has taken over the business.",tt0903747
Breaking Bad,5,12,Rabid Dog,"Sep 1, 2013",9.2,24116,Walt discovers Jesse broke into his house and attempted to burn it down. Walt wants to protect his family so he moves them into a hotel for a few nights. Jesse makes plans to take down Walt.,tt0903747
Breaking Bad,5,13,To'hajiilee,"Sep 8, 2013",9.8,40556,Jesse and Hank come up with an idea to take Walt down. Walt hires Todd's uncle to kill Jesse.,tt0903747
Breaking Bad,5,14,Ozymandias,"Sep 15, 2013",9.9,159741,"Walt goes on the run. Jesse is taken hostage. Marie convinces Skyler to tell Walter, Jr. the truth.",tt0903747
Breaking Bad,5,15,Granite State,"Sep 22, 2013",9.7,40498,Walt struggles as he adapts to aspects of his new identity. Jesse plans an escape against Jack and his crew.,tt0903747
Breaking Bad,5,16,Felina,"Sep 29, 2013",9.9,106103,"Walter White makes one last attempt to secure his family's future, while also visiting some old enemies, during his final return to Albuquerque.",tt0903747
